,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
0,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.37,[0.6952],[None],2000
1,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.04,[0.5644],[None],2001
2,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,1,4.03,[0.6866],[None],2002
3,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,2,128,1,8.31,"[0.6508, 0.6754]","[None, None]",2003
4,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.03,[0.6972],[None],2004
5,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.03,[0.6438],[None],2005
6,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.16,[0.6442],[None],2006
7,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.21,[0.5979],[None],2007
8,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,1,4.21,[0.4346],[None],2008
9,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.21,[0.634],[None],2009
10,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.1,[0.6476],[None],2010
11,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.05,[0.6351],[None],2011
12,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.08,[0.5913],[None],2012
13,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,3,192,0,12.92,"[0.6738, 0.6642, 0.6547]","[None, None, None]",2013
14,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.17,[0.6693],[None],2014
15,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,4,256,0,17.93,"[0.66, 0.6385, 0.6741, 0.6486]","[None, None, None, None]",2015
16,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,3,192,0,12.77,"[0.5962, 0.4839, 0.4911]","[None, None, None]",2016
17,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.04,[0.6983],[None],2017
18,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,2,128,1,8.33,"[0.5884, 0.6417]","[None, None]",2018
19,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,1,64,0,4.04,[0.6028],[None],2019
